Timestamp,Coin Name,Price (USD),24h Change,Market Cap
16-06-2026 19:51,Bitcoin,"$65,812.15",0.98%,"$1,322,423,704,334"
16-06-2026 19:51,Ethereum,"$1,787.14",1.26%,"$216,577,293,446"
16-06-2026 19:51,Tether,$0.9991,0.00%,"$186,382,630,622"
16-06-2026 19:51,BNB,$604.58,3.46%,"$81,487,975,571"
16-06-2026 19:51,XRP,$1.22,0.86%,"$76,119,220,653"
16-06-2026 19:51,USDC,$0.9996,0.00%,"$75,044,230,071"
16-06-2026 19:51,Solana,$73.84,0.68%,"$42,836,786,636"
16-06-2026 19:51,TRON,$0.3169,0.57%,"$30,052,784,860"
16-06-2026 19:51,Hyperliquid,$75.48,12.90%,"$19,129,215,058"
16-06-2026 19:51,Dogecoin,$0.08747,2.71%,"$14,905,087,876"
